time,target,master_offset,freq,path_delay
1736678932.917382470,0.5009908676147461,-3126691,-2225184,1265077
1736678933.917306123,0.5002787113189697,-561201,-597701,1091819
1736678934.918321601,0.5001027584075928,-101337,-306197,1070505
1736678935.918471564,0.49983882904052734,624539,389277,1070505
1736678936.919145239,0.4999806880950928,6128,-41772,993959
1736678937.918720843,0.49981117248535156,565025,518964,993959
1736678938.918019658,0.5001676082611084,-522169,-398723,993959
1736678939.918077093,0.4999866485595703,77849,44644,993959
1736678940.919083990,0.5000159740447998,-47282,-57132,959639
1736678941.917913285,0.49996376037597656,153022,128987,959639
1736678942.918229374,0.5001070499420166,-248673,-226801,959639
1736678943.918339690,0.5000514984130859,-69954,-122684,1023853
1736678944.918142684,0.4999825954437256,103205,29489,978197
1736678945.918047278,0.49996137619018555,128682,85927,925573
1736678946.917982174,0.4999682903289795,52340,48190,925573
1736678947.920039321,0.49991631507873535,158908,170460,938730
1736678949.918211217,0.4997577667236328,-202616,-143392,883812
1736678950.923573550,0.49826884269714355,4346833,4345273,851787
1736678951.920255317,0.5008776187896729,-2933527,-1631037,851787
1736678952.918347354,0.5010931491851807,-2855865,-2433434,883812
1736678953.920651672,0.5002546310424805,-293273,-727601,883812
1736678954.919499681,0.49973130226135254,1281212,758902,883812
1736678955.918743706,0.500302791595459,-555340,-693286,1038958
1736678956.918823875,0.5000317096710205,212346,-92202,921904
1736678957.918807842,0.4999580383300781,360944,120099,921904
1736678958.918895655,0.4999542236328125,32696,-99865,1143818
1736678959.920930304,0.49953389167785645,1349800,1227047,1143818
1736678960.918866711,0.5003347396850586,-988929,-706742,1143818
1736678961.919091665,0.5001895427703857,-424383,-438874,1143818
1736678962.918845745,0.5000014305114746,118645,-23161,1143818
1736678963.919583891,0.4998641014099121,237643,131430,1071669
1736678964.921689304,0.49957823753356934,1149882,1114962,896331
1736678965.919222877,0.500319242477417,-979552,-669507,1071669
1736678966.922972897,0.5001711845397949,-447187,-431008,1071669
1736678967.919552868,0.4999251365661621,297749,179772,883564
1736678968.919500989,0.4999682903289795,29062,410,883564
1736678969.924846303,0.4998340606689453,494050,474116,979723
1736678970.919426039,0.5001974105834961,-579041,-450760,979723
1736678971.919437526,0.4998345375061035,-13997,-59428,885440
1736678972.923627809,0.4990391731262207,2752437,2702807,885440
1736678973.920114734,0.5011355876922607,-3275760,-2499659,1495024
1736678974.920123020,0.5004091262817383,-745787,-952414,1495024
1736678975.921609978,0.5000321865081787,415821,-14542,1867708
1736678976.920041593,0.5000989437103271,-23677,-329294,1867708
1736678977.920402622,0.49977660179138184,886707,573987,1702073
1736678978.919761148,0.5000414848327637,-202598,-249306,1702073
1736678979.920127328,0.49953246116638184,987093,879606,881487
1736678980.923013090,0.4995419979095459,1095959,1284600,881487
1736678981.920201853,0.5003046989440918,-1669625,-1152196,1283291
1736678982.926845130,0.49898242950439453,2818569,2835110,1283291
1736678983.920099568,0.5011241436004639,-3323759,-2461647,1283291
1736678984.920304088,0.500420331954956,-883773,-1018789,1283291
1736678985.925228069,0.4998750686645508,670949,270801,878754
1736678986.920432259,0.4997539520263672,351299,152436,791516
1736678987.925740656,0.49876976013183594,2698731,2605258,772385
1736678988.924733597,0.49919843673706055,890068,1606214,772385
1736678990.920155360,0.5020864009857178,-5606787,-4623621,804696
1736678991.920206326,0.5007050037384033,-922253,-1621123,744912
1736678992.920705048,0.5000982284545898,782117,-193429,804696
1736678994.921472812,0.5000636577606201,564161,-176750,1278682
1736678995.920542693,0.49988508224487305,743897,172235,1278682
1736678996.920900461,0.4996821880340576,924624,576131,927757
1736678997.923892903,0.4994966983795166,1080558,1009452,927757
1736678999.920519391,0.500709056854248,-1835987,-1582926,1105238
1736679000.920752005,0.5002009868621826,-172915,-470650,1105238
1736679001.920955110,0.4999823570251465,353935,4326,973191
1736679002.921881346,0.4998433589935303,473954,230525,973191
1736679003.921579991,0.49968481063842773,906324,805081,876171
1736679004.921332100,0.5001585483551025,-508588,-337933,876171
1736679005.921169007,0.5000758171081543,-196217,-178139,876171
1736679006.921152123,0.4997432231903076,58267,17480,876171
1736679007.924787571,0.4987027645111084,3522830,3499523,876171
1736679008.921346280,0.5011391639709473,-3531479,-2497937,876171
1736679009.921545581,0.5004372596740723,-987732,-1013633,830733
1736679010.921481157,0.5000290870666504,256655,-65566,804932
1736679011.921321924,0.5000016689300537,250359,5134,766152
1736679012.921597869,0.5000066757202148,139604,-30513,711348
1736679013.921605610,0.4999544620513916,231217,102981,711348
1736679014.921183365,0.49997878074645996,104297,45426,766152
1736679016.921760418,0.5000836849212646,-180218,-207799,929208
1736679017.921934583,0.49995994567871094,165087,83440,929208
1736679019.921491285,0.49999332427978516,28783,-3338,824497
1736679020.921764203,0.4998009204864502,148501,125015,785718
1736679021.924103557,0.49927735328674316,1991531,2012595,785718
1736679022.921787199,0.5004942417144775,-2346590,-1728066,1029439
1736679023.925770887,0.49857330322265625,3553608,3468155,1029439
1736679024.924350361,0.5005662441253662,-1703640,-723011,1143958
1736679025.922401573,0.5014989376068115,-3902724,-3433187,1714301
1736679026.922470849,0.5002400875091553,193349,-507931,1218917
1736679027.922882994,0.5001318454742432,341351,-301924,1435053
1736679028.922320376,0.4999868869781494,514055,-26815,1435053
1736679029.926548835,0.4998209476470947,757518,370864,1435053
1736679030.922064746,0.4998493194580078,467291,307893,1195011
1736679031.924163704,0.4998750686645508,303770,284559,1195011
1736679032.922441703,0.49996042251586914,2778,74698,1025910
1736679033.922261951,0.49986958503723145,52088,124842,1025910
1736679034.924220485,0.4996147155761719,982034,1070414,810617
1736679035.922607794,0.5004127025604248,-1285830,-902840,1025910
1736679036.922503918,0.5001587867736816,-366041,-368800,1025910
1736679037.923947066,0.5000059604644775,109512,-3059,1025910
1736679038.922426481,0.5000123977661133,37073,-42645,1025910
1736679039.922413256,0.49994444847106934,166724,98128,936127
1736679040.922946686,0.4999244213104248,225133,206555,936127
1736679041.922676047,0.5000119209289551,-189267,-140306,973756
1736679042.929638301,0.4997220039367676,738479,730660,973756
1736679043.922930967,0.5001862049102783,-623570,-409845,973756
1736679044.922775689,0.500077486038208,-166146,-139492,973756
1736679045.923426027,0.5000400543212891,-201808,-224998,973756
1736679046.924655395,0.49970102310180664,862764,779032,937346
1736679047.923429596,0.500190258026123,-583995,-408898,937346
1736679048.923108528,0.5000998973846436,-198339,-198440,937346
1736679049.923242393,0.5000874996185303,-125202,-184805,973756
1736679050.923254157,0.5000343322753906,-3530,-100694,1017734
1736679051.923838068,0.49994921684265137,231655,133432,1017734
1736679052.923073163,0.49997496604919434,-30365,-59091,1017734
1736679053.924070531,0.4997379779815674,730272,692436,1066501
1736679054.930706485,0.5002186298370361,-704619,-523373,1066501
1736679055.923692177,0.4999547004699707,102686,72546,1066501
1736679056.923981878,0.4999244213104248,211796,212462,1066501
1736679057.929801254,0.5001106262207031,-272009,-207804,1093622
1736679058.923624687,0.5001182556152344,-261295,-278693,1074997
1736679059.924089360,0.4999692440032959,121811,26025,969531
1736679060.923979453,0.4998807907104492,343353,284110,969531
1736679061.923620019,0.5000178813934326,-41734,2029,969531
1736679062.924986229,0.5001037120819092,-264797,-233554,1048721
1736679063.924701761,0.5000197887420654,10283,-37914,1048721
1736679064.923908145,0.4999961853027344,17281,-27831,1048721
1736679065.923987285,0.4998893737792969,266888,226961,969531
1736679066.929823235,0.49991559982299805,166962,207101,858120
1736679067.924400669,0.49986815452575684,-116870,-26642,887099
1736679068.926070802,0.4992389678955078,1920365,1975532,887099
1736679069.925591807,0.5005314350128174,-1707791,-1076515,887099
1736679070.924404096,0.5004289150238037,-1086071,-967132,887099
1736679071.925441739,0.500089168548584,-690,-207572,887099
1736679072.924860210,0.4999871253967285,217676,10587,835881
1736679073.924818909,0.49991750717163086,274928,133141,835881
1736679074.924965440,0.4998660087585449,425837,366529,835881
1736679075.924456408,0.5001249313354492,-338375,-269932,835881
1736679076.924706393,0.500051736831665,-84037,-117107,835881
1736679077.924451017,0.5000026226043701,52595,-5686,836312
1736679078.924895620,0.4999990463256836,59145,16643,914749
1736679079.926489891,0.5000154972076416,-37634,-62393,909817
1736679080.924495357,0.499924898147583,200284,164235,830256
1736679081.925075093,0.4998149871826172,66861,90897,830256
1736679082.926723902,0.4992654323577881,1971081,2015176,909817
1736679083.924581532,0.5007209777832031,-2218147,-1582728,909817
1736679084.924643216,0.5002841949462891,-598037,-628062,909817
1736679085.925828138,0.500103235244751,6260,-203176,909817
1736679087.926474353,0.4993255138397217,1959280,1751722,852509
1736679088.925295967,0.5003278255462646,-1293473,-913247,869098
1736679089.926366367,0.49963855743408203,856965,849149,869098
1736679090.926077924,0.5000741481781006,-230904,18369,895683
1736679091.925293975,0.5003964900970459,-1248554,-1068552,990417
1736679092.930324396,0.49970221519470215,1112832,918268,990417
1736679093.925087948,0.5005402565002441,-1337584,-1198299,1138603
1736679094.925185321,0.5001895427703857,-135838,-397828,1138603
1736679095.926788630,0.5001146793365479,54802,-247939,1454159
1736679096.925580236,0.5000205039978027,181303,-104998,1454159
1736679097.925485981,0.49984264373779297,573865,341955,1193246
1736679098.925583555,0.499896764755249,240528,180778,1193246
1736679099.925616889,0.4998283386230469,361108,373516,925985
1736679100.925864821,0.4999048709869385,71752,192493,914635
1736679101.925886575,0.4999394416809082,54746,197012,914635
1736679102.925824941,0.5001308917999268,-445197,-286507,914635
1736679103.925776629,0.5000386238098145,-126966,-101835,914635
1736679104.926181852,0.49995946884155273,94781,81822,914635
1736679105.926093896,0.49995875358581543,82537,98012,815503
1736679106.926041645,0.49999427795410156,-24939,15298,733931
