data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,attack_value,PTPts
2620195.087,1739518760.737902,-13010.0,74810.0,4030163.0,0.0539345741271972,-1139242.0,2610667.0,0.0,0.0,2643286.9699345743
2627536.213,1739518761.657868,-123630.0,-39713.0,4095056.0,0.025801658630371,-1719719.0,3271149.0,0.0,0.0,2597829.7328016586
2788225.16,1739518762.681181,-286514.0,-239686.0,4337945.0,0.0485148429870605,-338749.0,2123138.0,0.0,0.0,2662436.346514843
2949367.152,1739518763.652552,38432.0,-694.0,4245958.0,0.020475149154663,550319.0,1313535.0,0.0,0.0,2923083.582475149
2865298.592,1739518764.675883,279591.0,251995.0,4084263.0,0.043018102645874,267546.0,1357051.0,0.0,0.0,2964753.4230181025
2668417.067,1739518765.700008,140510.0,196791.0,3984087.0,0.0160338878631591,-1314061.0,2767072.0,0.0,0.0,2754306.0490338877
2669677.942,1739518766.672143,-270958.0,-172524.0,4223970.0,0.0394809246063232,559992.0,1109699.0,0.0,0.0,2585049.833480925
2718712.986,1739518767.695933,148104.0,165250.0,4021588.0,0.0632450580596923,-1616874.0,3140200.0,0.0,0.0,2770973.335245058
2681814.132,1739518768.616273,-112407.0,-50829.0,4135733.0,0.0350098609924316,313502.0,1308270.0,0.0,0.0,2651120.857009861
2788471.942,1739518769.69008,-135299.0,-107443.0,4257072.0,0.057624340057373,-1551049.0,3304665.0,0.0,0.0,2722275.98462434
2964611.538,1739518770.662638,-179662.0,-192396.0,4433278.0,0.0299367904663085,-584285.0,2559685.0,0.0,0.0,2857238.2919367906
3089130.153,1739518771.694212,89743.0,23110.0,4385657.0,0.0114119052886962,-976229.0,2948416.0,0.0,0.0,3075834.757411905
3089749.199,1739518772.666331,76815.0,37105.0,4395373.0,0.033534288406372,-815507.0,2806721.0,0.0,0.0,3092624.060534288
3145225.103,1739518773.63787,-83743.0,-100408.0,4574958.0,0.0570824146270751,-283454.0,2412710.0,0.0,0.0,3086242.4450824144
3225414.929,1739518774.711788,52092.0,10304.0,4577165.0,0.0282466411590576,-750877.0,2881195.0,0.0,0.0,3210472.3272466413
3212445.112,1739518775.685017,108577.0,82416.0,4521741.0,0.0519790649414062,-842318.0,2906925.0,0.0,0.0,3235318.014979065
3255289.302,1739518776.708159,-133402.0,-126990.0,4698009.0,0.0251486301422119,-359953.0,2607049.0,0.0,0.0,3186275.1171486303
3314790.941,1739518777.732313,121381.0,87773.0,4625715.0,0.0481946468353271,-967360.0,3176741.0,0.0,0.0,3333825.620194647
3300107.666,1739518778.652885,-9670.0,-6864.0,4719052.0,0.0206274986267089,-800725.0,3023159.0,0.0,0.0,3285940.240627499
3313095.467,1739518779.67689,45972.0,45877.0,4676463.0,0.0439419746398925,-143620.0,2366256.0,0.0,0.0,3318586.027941975
3233530.778,1739518780.70053,172496.0,186193.0,4550140.0,0.0165908336639404,1034744.0,1033056.0,0.0,0.0,3305196.935590834
3056506.012,1739518781.671899,166677.0,232123.0,4401124.0,0.0399460792541503,-501141.0,2351325.0,0.0,0.0,3155463.6629460794
2934862.741,1739518782.694739,-60181.0,55268.0,4410365.0,0.0617845058441162,417863.0,1422090.0,0.0,0.0,2955451.663784506
2831316.136,1739518783.666762,130093.0,227487.0,4209860.0,0.0349369049072265,25409.0,1632261.0,0.0,0.0,2922274.004936905
2687912.809,1739518784.689112,-27660.0,108762.0,4185331.0,0.0572774410247802,286268.0,1278191.0,0.0,0.0,2732590.4562774412
2648507.727,1739518785.713138,-105641.0,22483.0,4170100.0,0.0289726257324218,-15634.0,1587707.0,0.0,0.0,2648570.5169726256
2649015.861,1739518786.684731,-58370.0,38062.0,4130444.0,0.0523943901062011,123867.0,1438395.0,0.0,0.0,2652310.66339439
2610784.112,1739518787.70801,25577.0,104498.0,4036686.0,0.0243034362792968,264372.0,1225591.0,0.0,0.0,2645024.142303436
2599804.977,1739518788.629562,-121410.0,-34816.0,4111373.0,0.0479638576507568,-1673186.0,3234879.0,0.0,0.0,2573569.5879638577
2669244.162,1739518789.704276,-94950.0,-44779.0,4156644.0,0.0711977481842041,-1407355.0,3039176.0,0.0,0.0,2632257.1681977483
2760177.999,1739518790.676738,-101777.0,-80091.0,4233599.0,0.0442171096801757,19386876.0,-17704392.0,0.0,0.0,2706671.57621711
2801752.517,1739518791.648731,79411.0,70564.0,4103073.0,0.0159745216369628,-1370348.0,3072965.0,0.0,0.0,2815262.269974522
2816355.703,1739518792.671987,-65407.0,-50431.0,4268024.0,0.0393347740173339,-377467.0,2159481.0,0.0,0.0,2781518.248334774
2856684.753,1739518793.644269,42488.0,37842.0,4239527.0,0.0113515853881835,-724586.0,2512910.0,0.0,0.0,2856617.8033515853
2823093.12,1739518794.719191,86481.0,94582.0,4201844.0,0.0860097408294677,-1115448.0,2345443.0,0.0,0.0,2852798.357009741
3074333.429,1739518795.6916,-633760.0,-599715.0,4363755.0,0.0586552619934082,-935133.0,3218575.0,0.0,0.0,2790845.525655262
3280860.628,1739518796.663971,486503.0,330420.0,4296939.0,0.0315923690795898,-341642.0,2384619.0,0.0,0.0,3389060.9305923693
2998035.412,1739518797.687784,301843.0,291711.0,4241135.0,0.0546972751617431,-285473.0,2082373.0,0.0,0.0,3130636.553697275
2813973.055,1739518798.659935,40825.0,121246.0,4256075.0,0.0276927947998046,-322650.0,2019061.0,0.0,0.0,2867180.919692795
2760692.224,1739518799.735142,-54616.0,38052.0,4251028.0,0.0506937503814697,678830.0,999158.0,0.0,0.0,2768381.5726937503
2773803.114,1739518800.70715,-84534.0,-8251.0,4262523.0,0.0234966278076171,226866.0,1000787.0,0.0,0.0,2756698.546496628
3016874.427,1739518801.680143,-509198.0,-458275.0,4236852.0,0.0467786788940429,-847720.0,3054860.0,0.0,0.0,2792969.254778679
3137984.246,1739518802.70343,450326.0,348490.0,4256815.0,0.0703513622283935,-279677.0,2187165.0,0.0,0.0,3260947.2183513623
2878259.391,1739518803.675054,186159.0,219421.0,4221329.0,0.042879581451416,-1532171.0,3216214.0,0.0,0.0,2978717.1178795816
2829680.257,1739518804.698631,-178799.0,-89690.0,4362842.0,0.0661940574645996,-1012935.0,2865238.0,0.0,0.0,2783562.2511940575
2944119.05,1739518805.722028,-113455.0,-77985.0,4465758.0,0.0384662151336669,498443.0,991749.0,0.0,0.0,2889564.9144662153
3150995.994,1739518806.693231,-296615.0,-295182.0,4286808.0,0.009706974029541,673461.0,1572560.0,0.0,0.0,2998153.683706974
3207939.62,1739518807.717272,381705.0,294154.0,4364317.0,0.0331861972808837,598126.0,1421097.0,0.0,0.0,3313583.9391861972
2958378.262,1739518808.68851,235156.0,262116.0,4284068.0,0.0562386512756347,364995.0,1436201.0,0.0,0.0,3075858.7442386514
2663226.763,1739518809.712061,302888.0,400395.0,3998308.0,0.0279605388641357,-253608.0,1657033.0,0.0,0.0,2842322.6579605388
2459060.323,1739518810.734433,-152470.0,35903.0,4055896.0,0.0515482425689697,-562560.0,1962756.0,0.0,0.0,2477986.595548243
