攻击开始,时间戳：1739572018698 ms,模式：3,目标值：2405713,持续时间：31秒
攻击结束,时间戳：1739572049708 ms

攻击开始,时间戳：1739572472899 ms,模式：2,目标值：6386069,持续时间：31秒
攻击结束,时间戳：1739572503958 ms

攻击开始,时间戳：1739573051223 ms,模式：2,目标值：7815862,持续时间：29秒
攻击结束,时间戳：1739573080232 ms

攻击开始,时间戳：1739573534494 ms,模式：1,目标值：2180604,持续时间：37秒
攻击结束,时间戳：1739573571506 ms

攻击开始,时间戳：1739574068730 ms,模式：1,目标值：4099130,持续时间：24秒
攻击结束,时间戳：1739574092737 ms

攻击开始,时间戳：1739574574951 ms,模式：2,目标值：5386069,持续时间：30秒
攻击结束,时间戳：1739574604961 ms

攻击开始,时间戳：1739574915082 ms,模式：2,目标值：7112395,持续时间：40秒
攻击结束,时间戳：1739574955106 ms

攻击开始,时间戳：1739575508345 ms,模式：3,目标值：5846331,持续时间：31秒
攻击结束,时间戳：1739575539355 ms

攻击开始,时间戳：1739576035569 ms,模式：3,目标值：3170092,持续时间：24秒
攻击结束,时间戳：1739576059583 ms

攻击开始,时间戳：1739576501782 ms,模式：1,目标值：7784607,持续时间：21秒
攻击结束,时间戳：1739576522789 ms

攻击开始,时间戳：1739576878933 ms,模式：3,目标值：2427525,持续时间：23秒
攻击结束,时间戳：1739576901959 ms

攻击开始,时间戳：1739577301131 ms,模式：1,目标值：3034972,持续时间：26秒
攻击结束,时间戳：1739577327140 ms

攻击开始,时间戳：1739577773346 ms,模式：2,目标值：2618675,持续时间：26秒
攻击结束,时间戳：1739577799354 ms

攻击开始,时间戳：1739578295535 ms,模式：3,目标值：2194047,持续时间：20秒
攻击结束,时间戳：1739578315541 ms

攻击开始,时间戳：1739578825786 ms,模式：1,目标值：4740279,持续时间：28秒
攻击结束,时间戳：1739578853793 ms

攻击开始,时间戳：1739579342992 ms,模式：2,目标值：5716442,持续时间：31秒
攻击结束,时间戳：1739579373004 ms

攻击开始,时间戳：1739579821256 ms,模式：2,目标值：4215291,持续时间：33秒
攻击结束,时间戳：1739579854267 ms

攻击开始,时间戳：1739580153359 ms,模式：3,目标值：4659952,持续时间：26秒
攻击结束,时间戳：1739580179366 ms

攻击开始,时间戳：1739580573491 ms,模式：3,目标值：3029339,持续时间：32秒
攻击结束,时间戳：1739580605502 ms

攻击开始,时间戳：1739580964687 ms,模式：2,目标值：2306394,持续时间：21秒
攻击结束,时间戳：1739580985695 ms

攻击开始,时间戳：1739581504893 ms,模式：1,目标值：2706888,持续时间：37秒
攻击结束,时间戳：1739581541903 ms

攻击开始,时间戳：1739581852019 ms,模式：2,目标值：4084463,持续时间：37秒
攻击结束,时间戳：1739581889047 ms

攻击开始,时间戳：1739582401253 ms,模式：3,目标值：5343881,持续时间：27秒
攻击结束,时间戳：1739582428262 ms

攻击开始,时间戳：1739582916539 ms,模式：3,目标值：6811641,持续时间：35秒
攻击结束,时间戳：1739582951555 ms

攻击开始,时间戳：1739583353776 ms,模式：2,目标值：2582917,持续时间：25秒
攻击结束,时间戳：1739583378786 ms

攻击开始,时间戳：1739583740969 ms,模式：2,目标值：3551263,持续时间：24秒
攻击结束,时间戳：1739583764977 ms

攻击开始,时间戳：1739584294192 ms,模式：2,目标值：5382831,持续时间：20秒
攻击结束,时间戳：1739584314198 ms

攻击开始,时间戳：1739584819507 ms,模式：1,目标值：4546176,持续时间：23秒
攻击结束,时间戳：1739584842514 ms

攻击开始,时间戳：1739585191636 ms,模式：3,目标值：6860597,持续时间：37秒
攻击结束,时间戳：1739585228651 ms

攻击开始,时间戳：1739585655897 ms,模式：2,目标值：3693418,持续时间：26秒
攻击结束,时间戳：1739585681908 ms

攻击开始,时间戳：1739586067102 ms,模式：2,目标值：4554057,持续时间：31秒
攻击结束,时间戳：1739586098114 ms

攻击开始,时间戳：1739586447484 ms,模式：1,目标值：7482915,持续时间：32秒
攻击结束,时间戳：1739586479497 ms

攻击开始,时间戳：1739586861683 ms,模式：3,目标值：3276905,持续时间：22秒
攻击结束,时间戳：1739586883692 ms

攻击开始,时间戳：1739587406966 ms,模式：1,目标值：6390627,持续时间：40秒
攻击结束,时间戳：1739587447002 ms

攻击开始,时间戳：1739587767108 ms,模式：2,目标值：4428735,持续时间：22秒
攻击结束,时间戳：1739587789115 ms

攻击开始,时间戳：1739588322379 ms,模式：1,目标值：4159734,持续时间：24秒
攻击结束,时间戳：1739588346389 ms

攻击开始,时间戳：1739588664538 ms,模式：1,目标值：2579165,持续时间：26秒
攻击结束,时间戳：1739588690558 ms

攻击开始,时间戳：1739588982647 ms,模式：2,目标值：4302717,持续时间：37秒
攻击结束,时间戳：1739589019658 ms

攻击开始,时间戳：1739589359784 ms,模式：1,目标值：4864652,持续时间：32秒
攻击结束,时间戳：1739589391796 ms

攻击开始,时间戳：1739589893005 ms,模式：2,目标值：3608934,持续时间：39秒
攻击结束,时间戳：1739589932019 ms

攻击开始,时间戳：1739590416173 ms,模式：1,目标值：5805265,持续时间：40秒
攻击结束,时间戳：1739590456183 ms

攻击开始,时间戳：1739591000368 ms,模式：1,目标值：4229449,持续时间：27秒
攻击结束,时间戳：1739591027378 ms

攻击开始,时间戳：1739591444548 ms,模式：1,目标值：5414058,持续时间：36秒
攻击结束,时间戳：1739591480562 ms

攻击开始,时间戳：1739592043787 ms,模式：1,目标值：4546972,持续时间：39秒
攻击结束,时间戳：1739592082801 ms

攻击开始,时间戳：1739592413925 ms,模式：1,目标值：2915589,持续时间：30秒
攻击结束,时间戳：1739592443937 ms

攻击开始,时间戳：1739592818109 ms,模式：2,目标值：5778653,持续时间：31秒
攻击结束,时间戳：1739592849121 ms

攻击开始,时间戳：1739593163214 ms,模式：3,目标值：6364869,持续时间：22秒
攻击结束,时间戳：1739593185219 ms

攻击开始,时间戳：1739593472307 ms,模式：3,目标值：7052661,持续时间：31秒
攻击结束,时间戳：1739593503319 ms

攻击开始,时间戳：1739593812435 ms,模式：1,目标值：4608486,持续时间：21秒
攻击结束,时间戳：1739593833442 ms

攻击开始,时间戳：1739594409660 ms,模式：1,目标值：2958806,持续时间：26秒
攻击结束,时间戳：1739594435670 ms

攻击开始,时间戳：1739594985851 ms,模式：2,目标值：6356291,持续时间：40秒
攻击结束,时间戳：1739595025865 ms

攻击开始,时间戳：1739595503096 ms,模式：2,目标值：2946144,持续时间：31秒
攻击结束,时间戳：1739595534109 ms

攻击开始,时间戳：1739595883297 ms,模式：1,目标值：7821060,持续时间：39秒
攻击结束,时间戳：1739595922308 ms

攻击开始,时间戳：1739596390479 ms,模式：2,目标值：6946733,持续时间：40秒
攻击结束,时间戳：1739596430493 ms

攻击开始,时间戳：1739596922688 ms,模式：2,目标值：7081349,持续时间：32秒
攻击结束,时间戳：1739596954700 ms

攻击开始,时间戳：1739597497903 ms,模式：2,目标值：3604479,持续时间：39秒
攻击结束,时间戳：1739597536917 ms

攻击开始,时间戳：1739598094139 ms,模式：3,目标值：5962554,持续时间：34秒
攻击结束,时间戳：1739598128157 ms

攻击开始,时间戳：1739598693392 ms,模式：2,目标值：6645789,持续时间：21秒
攻击结束,时间戳：1739598714398 ms

攻击开始,时间戳：1739599169664 ms,模式：2,目标值：2824998,持续时间：27秒
攻击结束,时间戳：1739599196675 ms

攻击开始,时间戳：1739599527815 ms,模式：1,目标值：6098222,持续时间：31秒
攻击结束,时间戳：1739599558827 ms
