data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,rolling_mean,rolling_std,rolling_range,change_count
2048995.078,1739515616.567678,-27953.0,34286.0,4029688.0,0.0117263793945312,-1399608.0,2930730.0,0.0,-7662.8,159862.33712103675,409592.0,4.0
2085610.52,1739515617.59092,-129812.0,-75958.0,4160935.0,0.0399158000946044,-1785747.0,3423017.0,0.0,-7068.4,160621.36946776416,242340.0,4.0
2242802.312,1739515618.563483,-229049.0,-214139.0,4366320.0,0.0670485496520996,-138507.0,2007848.0,0.0,-47226.2,174468.86144610448,161869.0,4.0
2472705.263,1739515619.586368,-121840.0,-175645.0,4491181.0,0.0432920455932617,-173903.0,2219007.0,0.0,-140654.8,123836.09154725452,361215.0,4.0
2697150.71,1739515620.609126,-136021.0,-226378.0,4681125.0,0.0217270851135253,-1328199.0,3661942.0,0.0,-153311.4,96436.85259640112,461493.0,4.0
2939227.174,1739515621.58191,-56506.0,-187669.0,4890249.0,0.0494825839996337,720586.0,1815641.0,0.0,-128935.0,109942.83682759873,651437.0,4.0
3043920.444,1739515622.606188,266142.0,118027.0,4770085.0,0.0238656997680664,662549.0,1802535.0,0.0,-134645.6,59450.00136837677,729314.0,4.0
2896042.869,1739515623.578181,348183.0,279911.0,4616902.0,0.0526530742645263,514945.0,1732247.0,0.0,-55454.8,144081.81463737885,523929.0,4.0
2633649.382,1739515624.550194,277375.0,313558.0,4469817.0,0.0292713642120361,-1371807.0,1878694.0,0.0,59991.6,224857.97729722643,399068.0,4.0
2986800.504,1739515625.574819,-1526457.0,-1407062.0,4533344.0,0.0560407638549804,-597695.0,3999646.0,0.0,139834.6,254642.21514646782,420432.0,4.0
3376249.828,1739515626.59694,1765128.0,1426586.0,4136824.0,0.0333342552185058,159008.0,1811352.0,0.0,-138252.6,715824.9563220746,420432.0,4.0
2273580.034,1739515627.568949,438338.0,629334.0,4032023.0,0.061979055404663,-2031904.0,3423935.0,0.0,226074.2,1012261.3544897878,633261.0,4.0
1909283.524,1739515628.540898,-327182.0,-4684.0,4219214.0,0.0383739471435546,21077.0,1402251.0,0.0,260513.4,1034290.3222856724,584879.0,4.0
1867230.483,1739515629.563987,-22108.0,202235.0,3945436.0,0.0659160614013671,-1732187.0,2986817.0,0.0,125440.4,1039942.6442418832,501321.0,4.0
1939103.099,1739515630.536952,-673161.0,-455450.0,4427792.0,0.0423688888549804,-1540281.0,3256896.0,0.0,65543.8,1037867.0033801056,587908.0,4.0
