Seconds_sin,Seconds_cos,master_offset,freq,path_delay,OT
-0.9229467504398821,-0.3849276501531972,-357218,-322276,4558635,2822027.803
-0.9229747287841414,-0.38486055919753653,266162,193939,4252383,2864156.965
-0.9230027242151366,-0.38479341352397967,341208,348834,4050470,2877055.721
-0.9230307014894301,-0.38472629765578875,52989,162977,3997386,3144093.421
-0.9230586764399402,-0.384659173618602,-77758,48127,3997386,3563653.121
-0.9230866439172196,-0.38459205376820266,-286738,-184181,4182431,3658860.197
-0.9231146144027278,-0.3845249129459665,-22492,-5956,4139189,3658657.88
-0.9231425752665469,-0.38445778146663634,23588,33376,4139189,3535009.602
-0.9231705303395467,-0.384390650136811,122969,139834,3997386,3520788.902
-0.9231984831780369,-0.38432351041508256,87591,141346,3924349,3330981.359
-0.923226424552285,-0.38425638447318494,-12499,67534,3924349,3221344.794
-0.9232543656519329,-0.3841892454307474,-27134,49149,3875291,3478991.541
-0.9232823019405947,-0.38412210418469345,-14932,53211,3875291,3387401.177
-0.9233102324885981,-0.38405496296995156,-85356,-21693,3875291,3338856.645
-0.9233381595266231,-0.3839878164238916,-21545,16511,3875291,3092330.533
-0.9233660802091395,-0.38392067138825575,-221455,-189862,4087116,2974242.967
-0.9233939966520298,-0.3838535227752784,95736,60892,3973363,2945644.165
-0.9234219078473794,-0.38378637300913365,89385,83262,3973363,3055799.234
-0.9234498153096842,-0.38371921844561047,10366,31059,3973363,3088879.63
-0.9234777154098576,-0.38365206781847283,-47494,-23691,4022890,3014261.098
-0.9235056134192156,-0.38358490844035875,-13500,-3946,4037908,2983485.755
-0.9235335055020228,-0.38351774954380546,16423,21927,4037908,2985982.666
-0.9235613905164978,-0.3834505938804022,33884,44315,4037908,3013961.882
-0.9235892747516803,-0.38338342630278793,3330,23926,4037908,3030051.521
-0.9236171491280969,-0.38331626868225527,-1127,20468,4037908,3047982.91
-0.9236450222457562,-0.3832491002998396,8899,30156,4037908,3009697.931
-0.9236728892374635,-0.38318193288269287,-41628,-17701,4081355,3016919.373
-0.923700751715644,-0.38311476254505533,-69760,-58321,4199831,3138116.484
-0.9237286112202812,-0.38304758557266827,-24015,-33504,4199831,3219498.054
-0.9237564618680653,-0.38298041615335066,-170443,-187137,4393319,3224696.02
-0.9237843109535337,-0.38291323669482213,61357,-6470,4393319,3093354.081
-0.9238121546972762,-0.3828460563119017,94578,45158,4393319,3027181.808
-0.9238399909330411,-0.38277888023353435,73037,51991,4393319,3073467.135
-0.9238678261813309,-0.38271169272310207,22336,23201,4393319,3408116.533
-0.9238956540144281,-0.38264450929453075,53401,60967,4393319,3272345.582
-0.9239234774747754,-0.38257732260409555,-81673,-58087,4476268,2961346.936
-0.9239512965334713,-0.3825101327208435,88547,87631,4393319,2817195.53
-0.9239791032799247,-0.38244295875597734,79659,105307,4374597,2791923.799
-0.9240069177639665,-0.38237575227037407,118273,167819,4213138,2992422.347
-0.9240347210536837,-0.3823085590033803,-15526,69502,4213138,3037603.738
-0.9240625216204462,-0.38224135848500534,-255819,-175449,4411566,3035685.698
-0.924090315336339,-0.382174160693244,56838,60462,4302072,2931049.989
-0.9241180986312091,-0.3821069742653737,307857,328533,4047198,2819030.364
-0.9241458893954545,-0.38203975593318085,-3667,109366,4047198,2776643.339
-0.9241736668365919,-0.38197255598512314,-115715,-3782,4047198,2755734.689
-0.9242014434936324,-0.3819053440897182,-229715,-152497,4197317,2732005.544
-0.9242292129238517,-0.3818381358352744,-326601,-318297,4467487,2778805.231
-0.9242569774453414,-0.3817709256132552,372420,282743,4163676,2793683.352
-0.924284737619349,-0.38170371206464726,206998,229047,4041424,3001323.321
-0.9243124917829031,-0.38163649921631027,-236110,-151961,4268892,2983669.182
-0.9243402427850002,-0.3815692801683161,-46115,-32799,4268892,2930920.782
-0.9243679829895393,-0.3815020734201204,1124,605,4268892,2926237.769
-0.9243957226819094,-0.3814348540542546,349155,348973,3946945,2976164.95
-0.9244234642949042,-0.3813676161671414,46751,151316,3946945,3010485.133
-0.9244511944084021,-0.3813003922852411,-215658,-97068,4052161,3019278.134
-0.9244789188455862,-0.3812331682974292,45924,99817,3906403,3005487.077
-0.9245066398136168,-0.3811659388514869,-35487,32183,3950638,3009715.021
-0.9245343506566207,-0.38109872009223644,-31371,25653,3950638,3018332.78
-0.9245620686643365,-0.38103147007448424,-61705,-14092,3950638,3018002.916
-0.9245897738368959,-0.3809642373192497,-16472,12629,3950638,3062329.826
