攻击结束,时间戳：1739957385939 ms

攻击开始,时间戳：1739957880103 ms,模式：1,目标值：5508619,持续时间：57秒
攻击结束,时间戳：1739957937119 ms

攻击开始,时间戳：1739958229217 ms,模式：2,目标值：3897616,持续时间：22秒
攻击结束,时间戳：1739958251225 ms

攻击开始,时间戳：1739958809448 ms,模式：2,目标值：3961831,持续时间：27秒
攻击结束,时间戳：1739958836458 ms

攻击开始,时间戳：1739959350611 ms,模式：2,目标值：2624492,持续时间：49秒
攻击结束,时间戳：1739959399625 ms

攻击开始,时间戳：1739959927828 ms,模式：1,目标值：5181485,持续时间：42秒
攻击结束,时间戳：1739959969841 ms

攻击开始,时间戳：1739960488051 ms,模式：3,目标值：3860258,持续时间：28秒
攻击结束,时间戳：1739960516065 ms

攻击开始,时间戳：1739960918195 ms,模式：1,目标值：2497481,持续时间：53秒
攻击结束,时间戳：1739960971215 ms

攻击开始,时间戳：1739961480463 ms,模式：3,目标值：4705038,持续时间：25秒
攻击结束,时间戳：1739961505472 ms

攻击开始,时间戳：1739961929612 ms,模式：3,目标值：5626102,持续时间：39秒
攻击结束,时间戳：1739961968622 ms

攻击开始,时间戳：1739962271709 ms,模式：2,目标值：2109902,持续时间：35秒
攻击结束,时间戳：1739962306720 ms

攻击开始,时间戳：1739962825990 ms,模式：3,目标值：4722601,持续时间：58秒
攻击结束,时间戳：1739962883007 ms

攻击开始,时间戳：1739963218099 ms,模式：1,目标值：4479267,持续时间：30秒
攻击结束,时间戳：1739963248107 ms

攻击开始,时间戳：1739963679255 ms,模式：3,目标值：3581995,持续时间：51秒
攻击结束,时间戳：1739963730274 ms

攻击开始,时间戳：1739964205556 ms,模式：2,目标值：5068552,持续时间：32秒
攻击结束,时间戳：1739964237564 ms

攻击开始,时间戳：1739964563646 ms,模式：2,目标值：4151873,持续时间：38秒
攻击结束,时间戳：1739964601655 ms

攻击开始,时间戳：1739965134862 ms,模式：1,目标值：5078634,持续时间：59秒
攻击结束,时间戳：1739965193881 ms

攻击开始,时间戳：1739965570057 ms,模式：1,目标值：2030886,持续时间：29秒
攻击结束,时间戳：1739965599065 ms

攻击开始,时间戳：1739965980206 ms,模式：1,目标值：4872801,持续时间：59秒
攻击结束,时间戳：1739966039251 ms

攻击开始,时间戳：1739966507484 ms,模式：2,目标值：5043112,持续时间：32秒
攻击结束,时间戳：1739966539494 ms

攻击开始,时间戳：1739966895756 ms,模式：3,目标值：3453383,持续时间：42秒
攻击结束,时间戳：1739966937768 ms

攻击开始,时间戳：1739967475050 ms,模式：3,目标值：2885072,持续时间：58秒
攻击结束,时间戳：1739967533070 ms

攻击开始,时间戳：1739968073241 ms,模式：2,目标值：2671926,持续时间：50秒
攻击结束,时间戳：1739968123257 ms

攻击开始,时间戳：1739968581414 ms,模式：3,目标值：4200650,持续时间：22秒
攻击结束,时间戳：1739968603422 ms

攻击开始,时间戳：1739969119626 ms,模式：3,目标值：2957203,持续时间：25秒
攻击结束,时间戳：1739969144633 ms

攻击开始,时间戳：1739969613777 ms,模式：3,目标值：2636911,持续时间：24秒
攻击结束,时间戳：1739969637784 ms

攻击开始,时间戳：1739970021913 ms,模式：2,目标值：4124741,持续时间：30秒
攻击结束,时间戳：1739970051940 ms

攻击开始,时间戳：1739970433091 ms,模式：3,目标值：4199127,持续时间：48秒
攻击结束,时间戳：1739970481106 ms

攻击开始,时间戳：1739970963297 ms,模式：1,目标值：3248839,持续时间：29秒
攻击结束,时间戳：1739970992307 ms

攻击开始,时间戳：1739971546599 ms,模式：3,目标值：5381173,持续时间：40秒
攻击结束,时间戳：1739971586628 ms

攻击开始,时间戳：1739971915768 ms,模式：3,目标值：2166944,持续时间：27秒
攻击结束,时间戳：1739971942775 ms

攻击开始,时间戳：1739972459976 ms,模式：3,目标值：4058795,持续时间：29秒
攻击结束,时间戳：1739972488985 ms

攻击开始,时间戳：1739972771098 ms,模式：3,目标值：5998494,持续时间：24秒
攻击结束,时间戳：1739972795107 ms

攻击开始,时间戳：1739973129220 ms,模式：2,目标值：4009557,持续时间：25秒
攻击结束,时间戳：1739973154226 ms

攻击开始,时间戳：1739973504316 ms,模式：2,目标值：3124570,持续时间：40秒
攻击结束,时间戳：1739973544329 ms

攻击开始,时间戳：1739973817416 ms,模式：1,目标值：5622789,持续时间：45秒
攻击结束,时间戳：1739973862430 ms

攻击开始,时间戳：1739974350592 ms,模式：3,目标值：3448046,持续时间：22秒
攻击结束,时间戳：1739974372599 ms

攻击开始,时间戳：1739974871751 ms,模式：1,目标值：3260720,持续时间：52秒
攻击结束,时间戳：1739974923763 ms

攻击开始,时间戳：1739975201848 ms,模式：2,目标值：3366860,持续时间：23秒
攻击结束,时间戳：1739975224854 ms

攻击开始,时间戳：1739975755114 ms,模式：2,目标值：5968848,持续时间：23秒
攻击结束,时间戳：1739975778122 ms

攻击开始,时间戳：1739976139404 ms,模式：1,目标值：4763187,持续时间：54秒
攻击结束,时间戳：1739976193422 ms

攻击开始,时间戳：1739976483564 ms,模式：3,目标值：4383988,持续时间：23秒
攻击结束,时间戳：1739976506571 ms

攻击开始,时间戳：1739976867716 ms,模式：2,目标值：2876679,持续时间：28秒
攻击结束,时间戳：1739976895724 ms

攻击开始,时间戳：1739977277942 ms,模式：1,目标值：2539836,持续时间：32秒
攻击结束,时间戳：1739977309956 ms

攻击开始,时间戳：1739977750139 ms,模式：2,目标值：3125849,持续时间：55秒
攻击结束,时间戳：1739977805174 ms

攻击开始,时间戳：1739978234320 ms,模式：3,目标值：5519765,持续时间：28秒
攻击结束,时间戳：1739978262328 ms

攻击开始,时间戳：1739978558429 ms,模式：2,目标值：5574717,持续时间：25秒
攻击结束,时间戳：1739978583439 ms

攻击开始,时间戳：1739978874634 ms,模式：3,目标值：5880942,持续时间：39秒
攻击结束,时间戳：1739978913646 ms

攻击开始,时间戳：1739979235779 ms,模式：1,目标值：3402448,持续时间：57秒
攻击结束,时间戳：1739979292805 ms

攻击开始,时间戳：1739979675904 ms,模式：1,目标值：4432307,持续时间：28秒
攻击结束,时间戳：1739979703912 ms

